Lattice parameter (Å) for Au,Potential energy (eV) for Au,Lattice parameter linspace (Å) for Au,Fitted energy (eV) curve for Au,Lattice parameter (Å) for min E_pot for  Au,Minimum E_pot (eV) for Au
,,4.1377,-3.139534092650834,,
,,4.1377999999999995,-3.1395678979455113,,
,,4.137899999999999,-3.1396016171363925,,
,,4.138,-3.1396352502234777,,
,,4.1381,-3.1396687972067667,,
,,4.138199999999999,-3.1397022580862455,,
,,4.138299999999999,-3.139735632861914,,
,,4.1384,-3.1397689215338005,,
,,4.1385,-3.139802124101891,,
,,4.138599999999999,-3.139835240566171,,
,,4.138699999999999,-3.1398682709266694,,
,,4.1388,-3.1399012151833574,,
,,4.1389,-3.139934073336235,,
,,4.138999999999999,-3.139966845385331,,
,,4.139099999999999,-3.1399995313306164,,
,,4.1392,-3.14003213117212,,
,,4.1392999999999995,-3.140064644909799,,
,,4.139399999999999,-3.140097072543682,,
,,4.1395,-3.140129414073783,,
,,4.1396,-3.140161669500074,,
,,4.1396999999999995,-3.1401938388225688,,
,,4.139799999999999,-3.1402259220412674,,
,,4.1399,-3.1402579191561557,,
,,4.14,-3.140289830167262,,
,,4.1400999999999994,-3.1403216550745583,,
,,4.140199999999999,-3.1403533938780583,,
,,4.1403,-3.140385046577748,,
,,4.1404,-3.140416613173656,,
,,4.140499999999999,-3.1404480936657535,,
,,4.140599999999999,-3.1404794880540408,,
,,4.1407,-3.140510796338546,,
,,4.1408,-3.140542018519241,,
,,4.140899999999999,-3.1405731545961544,,
,,4.140999999999999,-3.1406042045692573,,
,,4.1411,-3.140635168438564,,
,,4.1411999999999995,-3.1406660462040605,,
,,4.141299999999999,-3.140696837865775,,
,,4.141399999999999,-3.1407275434236794,,
,,4.1415,-3.1407581628777876,,
,,4.1415999999999995,-3.1407886962280998,,
,,4.141699999999999,-3.1408191434745873,,
,,4.141799999999999,-3.140849504617293,,
,,4.1419,-3.1408797796562027,,
,,4.1419999999999995,-3.140909968591316,,
,,4.142099999999999,-3.1409400714226337,,
,,4.1422,-3.140970088150141,,
,,4.1423,-3.141000018773852,,
,,4.142399999999999,-3.1410298632937668,,
,,4.142499999999999,-3.1410596217098856,,
,,4.1426,-3.1410892940222084,,
,,4.1427,-3.141118880230721,,
,,4.142799999999999,-3.141148380335423,,
,,4.142899999999999,-3.1411777943363433,,
,,4.143,-3.141207122233453,,
,,4.1431,-3.1412363640267813,,
,,4.143199999999999,-3.141265519716299,,
,,4.143299999999999,-3.1412945893020208,,
,,4.1434,-3.141323572783932,,
,,4.1434999999999995,-3.1413524701620616,,
,,4.143599999999999,-3.141381281436381,,
,,4.143699999999999,-3.141410006606904,,
,,4.1438,-3.141438645673631,,
,,4.1438999999999995,-3.1414671986365477,,
,,4.143999999999999,-3.1414956654956683,,
,,4.144099999999999,-3.141524046250993,,
,,4.1442,-3.1415523409025212,,
,,4.144299999999999,-3.1415805494502393,,
,,4.144399999999999,-3.1416086718941756,,
,,4.144499999999999,-3.1416367082343015,,
,,4.1446,-3.1416646584706314,,
,,4.144699999999999,-3.141692522603165,,
,,4.144799999999999,-3.1417203006318886,,
,,4.1449,-3.141747992556816,,
,,4.145,-3.141775598377947,,
,,4.145099999999999,-3.141803118095268,,
,,4.145199999999999,-3.141830551708807,,
,,4.1453,-3.141857899218536,,
