Lattice parameter (Å) for Au, Potential energy (eV) for Au, Lattice parameter linspace (Å) for Au, Fitted energy (eV) curve for Au
, , 4.112, -3.116821681508199
, , 4.1124, -3.1170827775954706
, , 4.1128, -3.1173426348509423
, , 4.1132, -3.1176012532745574
, , 4.1136, -3.1178586328663442
, , 4.114, -3.118114773626303
, , 4.1144, -3.1183696755543906
, , 4.1148, -3.1186233386506927
, , 4.1152, -3.118875762915124
, , 4.1156, -3.119126948347727
, , 4.116, -3.119376894948502
, , 4.1164000000000005, -3.1196256027174485
, , 4.1168000000000005, -3.119873071654524
, , 4.1172, -3.1201193017598
, , 4.1176, -3.1203642930332194
, , 4.118, -3.1206080454748104
, , 4.1184, -3.120850559084559
, , 4.1188, -3.1210918338624793
, , 4.1192, -3.1213318698085715
, , 4.1196, -3.121570666922821
, , 4.12, -3.1218082252052284
, , 4.1204, -3.1220445446558074
, , 4.1208, -3.122279625274544
, , 4.1212, -3.1225134670614523
, , 4.1216, -3.122746070016504
, , 4.122, -3.122977434139756
, , 4.1224, -3.123207559431137
, , 4.1228, -3.123436445890704
, , 4.1232, -3.1236640935184425
, , 4.1236, -3.1238905023143104
, , 4.1240000000000006, -3.1241156722783643
, , 4.1244000000000005, -3.12433960341059
, , 4.1248000000000005, -3.124562295710973
, , 4.1252, -3.124783749179514
, , 4.1256, -3.1250039638162406
, , 4.126, -3.1252229396210964
, , 4.1264, -3.1254406765941383
, , 4.1268, -3.1256571747353377
, , 4.1272, -3.125872434044709
, , 4.1276, -3.1260864545222375
, , 4.128, -3.126299236167924
, , 4.1284, -3.126510778981796
, , 4.1288, -3.1267210829637975
, , 4.1292, -3.126930148113999
, , 4.1296, -3.127137974432344
, , 4.13, -3.1273445619188607
, , 4.1304, -3.127549910573549
, , 4.1308, -3.127754020396381
, , 4.1312, -3.1279568913873987
, , 4.1316, -3.128158523546574
, , 4.132, -3.128358916873907
, , 4.1324000000000005, -3.1285580713694117
, , 4.1328000000000005, -3.128755987033088
, , 4.1332, -3.128952663864908
, , 4.1336, -3.1291481018648994
, , 4.134, -3.1293423010330486
, , 4.1344, -3.1295352613693694
, , 4.1348, -3.129726982873862
, , 4.1352, -3.1299174655465123
, , 4.1356, -3.1301067093873343
, , 4.136, -3.1302947143962996
, , 4.1364, -3.130481480573451
, , 4.1368, -3.1306670079187455
, , 4.1372, -3.130851296432212
, , 4.1376, -3.1310343461138643
, , 4.138, -3.13121615696366
, , 4.1384, -3.1313967289816134
, , 4.1388, -3.1315760621677384
, , 4.1392, -3.1317541565220353
, , 4.1396, -3.1319310120444896
, , 4.140000000000001, -3.132106628735116
, , 4.1404000000000005, -3.1322810065938995
, , 4.1408000000000005, -3.132454145620841
, , 4.1412, -3.132626045815954
, , 4.1416, -3.1327967071792244
, , 4.142, -3.132966129710667
, , 4.1424, -3.133134313410281
, , 4.1428, -3.1333012582780526
, , 4.1432, -3.133466964313982
, , 4.1436, -3.133631431518083
, , 4.144, -3.1337946598903414
, , 4.1444, -3.1339566494307576
, , 4.1448, -3.1341174001393597
, , 4.1452, -3.134276912016105
, , 4.1456, -3.1344351850610224
, , 4.146, -3.1345922192741114
, , 4.1464, -3.134748014655358
, , 4.1468, -3.1349025712047762
, , 4.1472, -3.135055888922352
, , 4.1476, -3.1352079678080855
, , 4.148, -3.1353588078619765
, , 4.1484000000000005, -3.1355084090840535
, , 4.1488000000000005, -3.135656771474274
, , 4.1492, -3.13580389503268
, , 4.1496, -3.135949779759244
, , 4.15, -3.1360944256539653
, , 4.1504, -3.1362378327168443
, , 4.1508, -3.136380000947895
, , 4.1512, -3.1365209303471175
, , 4.1516, -3.1366606209144976
, , 4.152, -3.1367990726500494
, , 4.1524, -3.136936285553759
, , 4.1528, -3.1370722596256257
, , 4.1532, -3.1372069948656645
, , 4.1536, -3.1373404912738607
, , 4.154, -3.1374727488502288
, , 4.1544, -3.1376037675947686
, , 4.1548, -3.1377335475074517
, , 4.1552, -3.1378620885883066
, , 4.1556, -3.1379893908373333
, , 4.156000000000001, -3.1381154542545318
, , 4.1564000000000005, -3.1382402788398736
, , 4.1568000000000005, -3.138363864593387
, , 4.1572000000000005, -3.1384862115150582
, , 4.1576, -3.138607319604901
, , 4.158, -3.138727188862916
, , 4.1584, -3.138845819289088
, , 4.1588, -3.138963210883432
, , 4.1592, -3.1390793636459193
, , 4.1596, -3.1391942775765784
, , 4.16, -3.1393079526754093
, , 4.1604, -3.1394203889423977
, , 4.1608, -3.139531586377572
, , 4.1612, -3.13964154498089
, , 4.1616, -3.139750264752365
, , 4.162, -3.1398577456920123
, , 4.1624, -3.139963987799831
, , 4.1628, -3.1400689910757933
, , 4.1632, -3.1401727555199557
, , 4.1636, -3.1402752811322614
, , 4.164, -3.1403765679127247
, , 4.1644000000000005, -3.1404766158613597
, , 4.1648000000000005, -3.1405754249781523
, , 4.1652000000000005, -3.140672995263131
, , 4.1656, -3.140769326716253
, , 4.166, -3.1408644193375324
, , 4.1664, -3.1409582731269836
, , 4.1668, -3.1410508880846066
, , 4.1672, -3.1411422642103872
, , 4.1676, -3.1412324015043396
, , 4.168, -3.1413212999664495
, , 4.1684, -3.141408959596731
, , 4.1688, -3.1414953803951704
, , 4.1692, -3.141580562361767
, , 4.1696, -3.1416645054965358
, , 4.17, -3.141747209799476
, , 4.1704, -3.141828675270574
, , 4.1708, -3.1419089019098294
, , 4.1712, -3.1419878897172424
, , 4.1716, -3.1420656386928414
, , 4.172000000000001, -3.1421421488365837
, , 4.1724000000000006, -3.142217420148512
, , 4.1728000000000005, -3.142291452628598
, , 4.1732000000000005, -3.1423642462768413
, , 4.1736, -3.1424358010932423
, , 4.174, -3.142506117077815
, , 4.1744, -3.1425751942305453
, , 4.1748, -3.1426430325514616
, , 4.1752, -3.1427096320405354
, , 4.1756, -3.1427749926977526
, , 4.176, -3.142839114523156
, , 4.1764, -3.1429019975167023
, , 4.1768, -3.142963641678435
, , 4.1772, -3.143024047008325
, , 4.1776, -3.1430832135063724
, , 4.178, -3.143141141172592
, , 4.1784, -3.1431978300069687
, , 4.1788, -3.143253280009503
, , 4.1792, -3.1433074911802237
, , 4.1796, -3.1433604635191017
, , 4.18, -3.143412197026123
, , 4.180400000000001, -3.1434626917013304
, , 4.1808000000000005, -3.1435119475446953
, , 4.1812000000000005, -3.143559964556218
, , 4.1816, -3.143606742735926
, , 4.182, -3.143652282083778
, , 4.1824, -3.1436965825998016
, , 4.1828, -3.1437396442839827
, , 4.1832, -3.1437814671363213
, , 4.1836, -3.1438220511568318
, , 4.184, -3.143861396345528
, , 4.1844, -3.143899502702368
, , 4.1848, -3.1439363702273653
, , 4.1852, -3.1439719989205344
, , 4.1856, -3.144006388781875
, , 4.186, -3.1440395398113594
, , 4.1864, -3.144071452009044
, , 4.1868, -3.1441021253748715
, , 4.1872, -3.144131559908857
, , 4.1876, -3.144159755611014
, , 4.188000000000001, -3.1441867124813285
, , 4.188400000000001, -3.144212430519815
, , 4.1888000000000005, -3.144236909726473
, , 4.1892000000000005, -3.1442601501012746
, , 4.1896, -3.144282151644248
, , 4.19, -3.144302914355393
, , 4.1904, -3.1443224382346955
, , 4.1908, -3.14434072328217
, , 4.1912, -3.1443577694978018
, , 4.1916, -3.1443735768815912
, , 4.192, -3.1443881454335525
, , 4.1924, -3.1444014751536713
, , 4.1928, -3.144413566041962
, , 4.1932, -3.144424418098424
, , 4.1936, -3.144434031323044
, , 4.194, -3.1444424057158216
, , 4.1944, -3.144449541276771
, , 4.1948, -3.1444554380058776
, , 4.1952, -3.144460095903156
, , 4.1956, -3.1444635149686064
, , 4.196, -3.1444656952022
, , 4.196400000000001, -3.1444666366039655
, , 4.1968000000000005, -3.1444663391738885
, , 4.1972000000000005, -3.1444648029119833
, , 4.1976, -3.144462027818264
, , 4.198, -3.144458013892674
, , 4.1984, -3.1444527611352697
, , 4.1988, -3.144446269546009
, , 4.1992, -3.144438539124934
, , 4.1996, -3.1444295698720026
, , 4.2, -3.144419361787257
, , 4.2004, -3.144407914870669
, , 4.2008, -3.144395229122239
, , 4.2012, -3.14438130454198
, , 4.2016, -3.144366141129879
, , 4.202, -3.1443497388859356
, , 4.2024, -3.144332097810178
, , 4.2028, -3.144313217902564
, , 4.2032, -3.1442930991631215
