Lattice parameter (Å) for Pt, Potential energy (eV) for Pt, Lattice parameter linspace (Å) for Pt, Fitted energy (eV) curve for Pt
, , 3.8664, -6.3370814650598675
, , 3.8668, -6.3376933963075714
, , 3.8672, -6.338303299122458
, , 3.8676, -6.338911173504513
, , 3.868, -6.339517019453723
, , 3.8684, -6.340120836970129
, , 3.8688, -6.34072262605369
, , 3.8691999999999998, -6.3413223867044195
, , 3.8695999999999997, -6.3419201189223315
, , 3.87, -6.342515822707412
, , 3.8704, -6.343109498059661
, , 3.8708, -6.343701144979065
, , 3.8712, -6.344290763465665
, , 3.8716, -6.344878353519405
, , 3.872, -6.345463915140343
, , 3.8724, -6.346047448328449
, , 3.8728, -6.346628953083695
, , 3.8731999999999998, -6.3472084294061375
, , 3.8735999999999997, -6.347785877295763
, , 3.8739999999999997, -6.348361296752529
, , 3.8744, -6.348934687776477
, , 3.8748, -6.349506050367609
, , 3.8752, -6.350075384525894
, , 3.8756, -6.350642690251348
, , 3.876, -6.351207967543985
, , 3.8764, -6.35177121640379
, , 3.8768, -6.35233243683075
, , 3.8771999999999998, -6.352891628824892
, , 3.8775999999999997, -6.353448792386217
, , 3.878, -6.354003927514697
, , 3.8784, -6.354557034210345
, , 3.8788, -6.355108112473175
, , 3.8792, -6.355657162303174
, , 3.8796, -6.356204183700328
, , 3.88, -6.356749176664664
, , 3.8804, -6.357292141196169
, , 3.8808, -6.357833077294842
, , 3.8811999999999998, -6.358371984960684
, , 3.8815999999999997, -6.358908864193694
, , 3.8819999999999997, -6.359443714993887
, , 3.8824, -6.359976537361234
, , 3.8828, -6.360507331295764
, , 3.8832, -6.361036096797463
, , 3.8836, -6.36156283386633
, , 3.884, -6.3620875425023655
, , 3.8844, -6.36261022270557
, , 3.8848, -6.3631308744759565
, , 3.8851999999999998, -6.363649497813498
, , 3.8855999999999997, -6.364166092718207
, , 3.886, -6.3646806591901
, , 3.8864, -6.365193197229161
, , 3.8868, -6.365703706835404
, , 3.8872, -6.366212188008788
, , 3.8876, -6.366718640749369
, , 3.888, -6.367223065057104
, , 3.8884, -6.367725460932007
, , 3.8888, -6.368225828374094
, , 3.8891999999999998, -6.368724167383348
, , 3.8895999999999997, -6.369220477959772
, , 3.8899999999999997, -6.3697147601033635
, , 3.8904, -6.370207013814124
, , 3.8908, -6.370697239092053
, , 3.8912, -6.37118543593715
, , 3.8916, -6.37167160434943
, , 3.892, -6.372155744328865
, , 3.8924, -6.372637855875482
, , 3.8928, -6.373117938989282
, , 3.8931999999999998, -6.373595993670222
, , 3.8935999999999997, -6.374072019918344
, , 3.894, -6.37454601773365
, , 3.8944, -6.375017987116124
