Surface metal, Adsorption position, Activation energy CO and O (eV)
Rh, fcc, -0.3277070283251987
Rh, fcc, -0.3277070283251987
Rh, fcc, -0.3277070283251987
Rh, fcc, -0.3277070283251987
Rh, fcc, -0.3277070283251987
Rh, fcc, -0.3277070283251987
Rh, fcc, -0.3277070283251987
Rh, fcc, -0.3277070283251987
Rh, fcc, -0.3277070283251987
Rh, fcc, -0.3277070283251987
Rh, fcc, -0.3277070283251987
Rh, fcc, -0.3277070283251987
Rh, fcc, -0.3277070283251987
Rh, fcc, -0.3277070283251987
Rh, fcc, -0.3277070283251987
Rh, fcc, -0.3277070283251987
Rh, hcp, -0.35945421071155004
Rh, hcp, -0.35945421071155004
Rh, hcp, -0.35945421071155004
Rh, hcp, -0.35945421071155004
Rh, hcp, -0.35945421071155004
Rh, hcp, -0.35945421071155004
Rh, hcp, -0.35945421071155004
Rh, hcp, -0.35945421071155004
Rh, hcp, -0.35945421071155004
Rh, hcp, -0.35945421071155004
Rh, hcp, -0.35945421071155004
Rh, hcp, -0.35945421071155004
Rh, hcp, -0.35945421071155004
Rh, hcp, -0.35945421071155004
Rh, hcp, -0.35945421071155004
Rh, hcp, -0.35945421071155004
