 id|age|user  |formula|calculator  |energy|natoms| fmax|pbc|  volume|charge|   mass| smax|magmom|simulation_cell|origin                    |generation|raw_score|description|gaid|pairing|relaxed|mutation|extinct
139|14h|liljav|Na8    |gpaw        |-7.281|     8|0.015|FFF|4096.000| 0.000|183.918|     | 0.000|               |CutAndSplicePairing       |         0|    7.281|           | 138|       |      1|        |      0
107|14h|liljav|Na8    |gpaw        |-7.281|     8|0.016|FFF|4096.000| 0.000|183.918|     | 0.000|               |CutAndSplicePairing       |         0|    7.281|           | 106|       |      1|        |      0
137|14h|liljav|Na8    |gpaw        |-7.281|     8|0.016|FFF|4096.000| 0.000|183.918|     | 0.000|               |CutAndSplicePairing       |         0|    7.281|           | 136|       |      1|        |      0
157|14h|liljav|Na8    |gpaw        |-7.280|     8|0.017|FFF|4096.000| 0.000|183.918|     | 0.000|               |CutAndSplicePairing       |         0|    7.280|           | 156|       |      1|        |      0
114|14h|liljav|Na8    |gpaw        |-7.280|     8|0.017|FFF|4096.000| 0.000|183.918|     | 0.000|               |CutAndSplicePairing       |         0|    7.280|           | 113|       |      1|        |      0
 44|15h|liljav|Na8    |gpaw        |-7.280|     8|0.013|FFF|4096.000| 0.000|183.918|     | 0.000|               |RattleMutation            |         0|    7.280|           |  42|       |      1|        |      0
 59|15h|liljav|Na8    |gpaw        |-7.280|     8|0.012|FFF|4096.000| 0.000|183.918|     | 0.000|               |CutAndSplicePairing       |         0|    7.280|           |  58|       |      1|        |      0
 23|16h|liljav|Na8    |gpaw        |-7.280|     8|0.010|FFF|4096.000| 0.000|183.918|     | 0.000|               |StartingCandidateUnrelaxed|         0|    7.280|           |   3|       |      1|        |      0
 93|15h|liljav|Na8    |gpaw        |-7.280|     8|0.019|FFF|4096.000| 0.000|183.918|     | 0.000|               |CutAndSplicePairing       |         0|    7.280|           |  92|       |      1|        |      0
159|14h|liljav|Na8    |gpaw        |-7.280|     8|0.016|FFF|4096.000| 0.000|183.918|     | 0.000|               |CutAndSplicePairing       |         0|    7.280|           | 158|       |      1|        |      0
135|14h|liljav|Na8    |gpaw        |-7.280|     8|0.017|FFF|4096.000| 0.000|183.918|     | 0.000|               |RattleMutation            |         0|    7.280|           | 133|       |      1|        |      0
191|13h|liljav|Na8    |gpaw        |-7.280|     8|0.014|FFF|4096.000| 0.000|183.918|     | 0.000|               |RattleMutation            |         0|    7.280|           | 189|       |      1|        |      0
 68|15h|liljav|Na8    |gpaw        |-7.280|     8|0.012|FFF|4096.000| 0.000|183.918|     | 0.000|               |CutAndSplicePairing       |         0|    7.280|           |  67|       |      1|        |      0
151|14h|liljav|Na8    |gpaw        |-7.280|     8|0.016|FFF|4096.000| 0.000|183.918|     | 0.000|               |CutAndSplicePairing       |         0|    7.280|           | 150|       |      1|        |      0
120|14h|liljav|Na8    |gpaw        |-7.280|     8|0.020|FFF|4096.000| 0.000|183.918|     | 0.000|               |CutAndSplicePairing       |         0|    7.280|           | 119|       |      1|        |      0
 46|15h|liljav|Na8    |gpaw        |-7.280|     8|0.015|FFF|4096.000| 0.000|183.918|     | 0.000|               |CutAndSplicePairing       |         0|    7.280|           |  45|       |      1|        |      0
132|14h|liljav|Na8    |gpaw        |-7.280|     8|0.013|FFF|4096.000| 0.000|183.918|     | 0.000|               |RattleMutation            |         0|    7.280|           | 130|       |      1|        |      0
183|13h|liljav|Na8    |gpaw        |-7.280|     8|0.018|FFF|4096.000| 0.000|183.918|     | 0.000|               |CutAndSplicePairing       |         0|    7.280|           | 182|       |      1|        |      0
110|14h|liljav|Na8    |gpaw        |-7.280|     8|0.014|FFF|4096.000| 0.000|183.918|     | 0.000|               |RattleMutation            |         0|    7.280|           | 108|       |      1|        |      0
181|13h|liljav|Na8    |gpaw        |-7.280|     8|0.017|FFF|4096.000| 0.000|183.918|     | 0.000|               |CutAndSplicePairing       |         0|    7.280|           | 180|       |      1|        |      0
 50|15h|liljav|Na8    |gpaw        |-7.280|     8|0.014|FFF|4096.000| 0.000|183.918|     | 0.000|               |CutAndSplicePairing       |         0|    7.280|           |  49|       |      1|        |      0
