 id|age|user  |formula|calculator  |energy|natoms| fmax|pbc|  volume|charge|   mass| smax|magmom|gaid|raw_score|mutation|simulation_cell|extinct|origin                    |generation|relaxed|pairing|description
103|14h|liljav|Na6    |gpaw        |-4.932|     6|0.018|FFF|4096.000| 0.000|137.939|     | 0.000| 102|    4.932|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
109|14h|liljav|Na6    |gpaw        |-4.932|     6|0.018|FFF|4096.000| 0.000|137.939|     | 0.000| 108|    4.932|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
139|14h|liljav|Na6    |gpaw        |-4.932|     6|0.020|FFF|4096.000| 0.000|137.939|     | 0.000| 138|    4.932|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
 85|14h|liljav|Na6    |gpaw        |-4.932|     6|0.019|FFF|4096.000| 0.000|137.939|     | 0.000|  84|    4.932|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
 57|15h|liljav|Na6    |gpaw        |-4.932|     6|0.018|FFF|4096.000| 0.000|137.939|     | 0.000|  56|    4.932|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
 41|15h|liljav|Na6    |gpaw        |-4.931|     6|0.019|FFF|4096.000| 0.000|137.939|     | 0.000|  21|    4.931|        |               |      0|StartingCandidateUnrelaxed|         0|      1|       |           
 53|15h|liljav|Na6    |gpaw        |-4.931|     6|0.018|FFF|4096.000| 0.000|137.939|     | 0.000|  51|    4.931|        |               |      0|MirrorMutation            |         0|      1|       |           
 89|14h|liljav|Na6    |gpaw        |-4.931|     6|0.015|FFF|4096.000| 0.000|137.939|     | 0.000|  88|    4.931|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
198|13h|liljav|Na6    |gpaw        |-4.931|     6|0.018|FFF|4096.000| 0.000|137.939|     | 0.000| 196|    4.931|        |               |      0|MirrorMutation            |         0|      1|       |           
105|14h|liljav|Na6    |gpaw        |-4.930|     6|0.018|FFF|4096.000| 0.000|137.939|     | 0.000| 104|    4.930|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
 61|15h|liljav|Na6    |gpaw        |-4.890|     6|0.003|FFF|4096.000| 0.000|137.939|     | 0.000|  60|    4.890|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
 94|14h|liljav|Na6    |gpaw        |-4.890|     6|0.011|FFF|4096.000| 0.000|137.939|     | 0.000|  92|    4.890|        |               |      0|RattleMutation            |         0|      1|       |           
124|14h|liljav|Na6    |gpaw        |-4.890|     6|0.006|FFF|4096.000| 0.000|137.939|     | 0.000| 123|    4.890|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
 65|15h|liljav|Na6    |gpaw        |-4.890|     6|0.005|FFF|4096.000| 0.000|137.939|     | 0.000|  64|    4.890|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
 96|14h|liljav|Na6    |gpaw        |-4.890|     6|0.011|FFF|4096.000| 0.000|137.939|     | 0.000|  95|    4.890|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
185|13h|liljav|Na6    |gpaw        |-4.890|     6|0.007|FFF|4096.000| 0.000|137.939|     | 0.000| 184|    4.890|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
 23|16h|liljav|Na6    |gpaw        |-4.890|     6|0.008|FFF|4096.000| 0.000|137.939|     | 0.000|   3|    4.890|        |               |      0|StartingCandidateUnrelaxed|         0|      1|       |           
 91|14h|liljav|Na6    |gpaw        |-4.890|     6|0.011|FFF|4096.000| 0.000|137.939|     | 0.000|  90|    4.890|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
200|13h|liljav|Na6    |gpaw        |-4.890|     6|0.013|FFF|4096.000| 0.000|137.939|     | 0.000| 199|    4.890|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
