Radial distance r (atomic units), theoretical hydrogen ground state wavefunction (atomic units), calculated hydrogen ground state wavefunction (atomic units) with 10000 points
0.064, 0.5292126500509556, 0.5292165695463361
0.065, 0.5286837019190496, 0.5286876175677365
0.066, 0.5281552824708896, 0.5281591942763801
0.067, 0.527627391178056, 0.5276312991438442
0.068, 0.5271000275126576, 0.5271039316422304
0.069, 0.5265731909473307, 0.5265770912441803
0.07, 0.5260468809552387, 0.526050777422852
0.07100000000000001, 0.5255210970100713, 0.5255249896519284
0.07200000000000001, 0.5249958385860447, 0.5249997274056235
0.073, 0.5244711051579006, 0.5244749901586776
0.074, 0.5239468962009053, 0.5239507773863498
0.075, 0.5234232111908498, 0.5234270885644351
0.076, 0.5229000496040491, 0.5229039231692446
0.077, 0.5223774109173416, 0.522381280677603
0.078, 0.5218552946080887, 0.5218591605668798
0.079, 0.5213337001541737, 0.521337562314949
0.08, 0.5208126270340023, 0.5208164854002121
0.081, 0.5202920747265015, 0.5202959293016063
0.082, 0.5197720427111187, 0.5197758934985595
0.083, 0.5192525304678218, 0.5192563774710434
0.084, 0.5187335374770988, 0.5187373806995443
0.085, 0.5182150632199565, 0.5182189026650619
0.08600000000000001, 0.5176971071779205, 0.5177009428491197
0.08700000000000001, 0.5171796688330349, 0.51718350073376
0.088, 0.5166627476678612, 0.5166665758015421
0.089, 0.5161463431654782, 0.5161501675355413
0.09, 0.5156304548094816, 0.5156342754193488
0.091, 0.5151150820839825, 0.5151188989370735
0.092, 0.5146002244736085, 0.514604037573339
0.093, 0.5140858814635019, 0.5140896908132847
0.094, 0.5135720525393196, 0.5135758581425649
0.095, 0.5130587371872325, 0.513062539047347
0.096, 0.5125459348939255, 0.5125497330143145
0.097, 0.5120336451465961, 0.5120374395306582
0.098, 0.5115218674329545, 0.5115256580840913
0.099, 0.5110106012412229, 0.5110143881628308
0.1, 0.5104998460601351, 0.5105036292556024
0.101, 0.509989601378936, 0.5099933808516551
0.10200000000000001, 0.5094798666873807, 0.5094836424407323
0.10300000000000001, 0.5089706414757346, 0.508974413513104
0.10400000000000001, 0.5084619252347723, 0.5084656935595404
0.105, 0.5079537174557777, 0.5079574820713185
0.106, 0.5074460176305429, 0.5074497785402293
0.107, 0.5069388252513679, 0.5069425824585752
0.108, 0.5064321398110605, 0.5064358933191531
0.109, 0.5059259608029351, 0.505929710615276
0.11, 0.5054202877208126, 0.5054240338407637
0.111, 0.5049151200590201, 0.5049188624899371
0.112, 0.5044104573123895, 0.5044141960576299
0.113, 0.5039062989762584, 0.5039100340391757
0.114, 0.5034026445464682, 0.503406375930412
0.115, 0.5028994935193646, 0.502903221227678
0.116, 0.5023968453917964, 0.5024005694278236
0.117, 0.5018946996611153, 0.5018984200281971
0.11800000000000001, 0.5013930558251759, 0.5013967725266476
0.11900000000000001, 0.500891913382334, 0.5008956264215297
0.12, 0.5003912718314472, 0.5003949812116986
0.121, 0.49989113067187396, 0.4998948363965101
0.122, 0.4993914894034731, 0.49939519147581724
0.123, 0.4988923475266032, 0.4988960459499789
0.124, 0.49839370454212245, 0.49839739931984756
0.125, 0.49789555995138773, 0.4978992510867806
0.126, 0.4973979132562545, 0.4974016007526226
0.127, 0.4969007639590759, 0.4969044478197369
0.128, 0.4964041115627027, 0.4964077917909591
0.129, 0.49590795557048245, 0.4959116321696395
0.13, 0.4954122954862591, 0.49541596845961827
0.131, 0.4949171308143725, 0.49492080016523293
0.132, 0.4944224610596579, 0.49442612679131326
0.133, 0.4939282857274457, 0.4939319478431889
0.134, 0.4934346043235603, 0.49343826282668213
0.135, 0.4929414163543203, 0.492945071248107
0.136, 0.49244872132653783, 0.49245237261427294
0.137, 0.49195651874751767, 0.49196016643248164
