Radial distance r (atomic units), theoretical Hartree potential (atomic units), calculated Hartree potential (atomic units)
7.812429530201342, 0.12800096986523352, 0.145592269169376
7.892959731543624, 0.12669502877689684, 0.14439129288462055
7.973489932885906, 0.1254154634416777, 0.14321457262601092
8.054020134228187, 0.12416148318255052, 0.14206138123024148
8.13455033557047, 0.12293232856387573, 0.14093102026996152
8.215080536912751, 0.12172726986959728, 0.13982281865345086
8.295610738255032, 0.12054560566878388, 0.1387361313047459
8.376140939597315, 0.11938666146281263, 0.1376703379189495
8.456671140939596, 0.11824978840890335, 0.13662484178784556
8.537201342281879, 0.11713436211509044, 0.1355990686912878
8.61773154362416, 0.11603978150207037, 0.13459246585015172
8.698261744966443, 0.11496546772768369, 0.13360450093694512
8.778791946308724, 0.1139108631700917, 0.13263466114044148
8.859322147651007, 0.11287543046598025, 0.13168245228095776
8.939852348993288, 0.11185865160038097, 0.1307473979731362
