Radial distance r (a.u.), Calculated helium wavefunction
0.365, 0.6512593810708721
0.37, 0.6452787724608793
0.375, 0.6393609432153845
0.38, 0.6335051650873633
0.385, 0.6277107182118794
0.39, 0.6219768910417356
0.395, 0.6163029802819234
0.4, 0.6106882908229846
0.405, 0.6051321356733248
0.41000000000000003, 0.5996338358906532
0.41500000000000004, 0.5941927205125574
0.42, 0.588808126486346
0.425, 0.5834793985982133
0.43, 0.578205889401815
0.435, 0.5729869591463154
0.44, 0.5678219757039876
0.445, 0.5627103144974148
0.45, 0.557651358426381
0.455, 0.5526444977944759
0.46, 0.5476891302354885
0.465, 0.5427846606396429
0.47000000000000003, 0.5379305010797403
0.47500000000000003, 0.5331260707372261
0.48, 0.5283707958282207
0.485, 0.523664109529622
0.49, 0.5190054519052486
0.495, 0.5143942698320713
0.5, 0.5098300169266307
0.505, 0.5053121534716073
0.51, 0.5008401463425828
0.515, 0.4964134689350902
0.52, 0.4920316010918888
0.525, 0.487694029030559
0.53, 0.48340024527140607
0.535, 0.4791497485657313
0.54, 0.4749420438244376
0.545, 0.47077664204707376
0.55, 0.46665306025123576
0.555, 0.4625708214024482
0.56, 0.4585294543444484
0.5650000000000001, 0.45452849372995946
0.5700000000000001, 0.4505674799519389
0.5750000000000001, 0.4466459590753067
0.58, 0.44276348276918776
0.585, 0.43891960823967613
0.59, 0.43511389816311
0.595, 0.4313459206199001
0.6, 0.42761524902890446
0.605, 0.4239214620823515
0.61, 0.42026414368132614
0.615, 0.41664288287184265
0.62, 0.4130572737814727
0.625, 0.40950691555657415
0.63, 0.4059914123000844
0.635, 0.4025103730099516
0.64, 0.3990634115180956
0.645, 0.3956501464300289
0.65, 0.39227020106504396
0.655, 0.3889232033970184
0.66, 0.38560878599582
0.665, 0.3823265859693202
0.67, 0.3790762449060244
0.675, 0.3758574088182898
0.68, 0.37266972808618287
0.685, 0.36951285740190765
0.6900000000000001, 0.3663864557148806
0.6950000000000001, 0.3632901861773801
0.7000000000000001, 0.3602237160908203
0.705, 0.3571867168526231
0.71, 0.35417886390369396
0.715, 0.35119983667649096
0.72, 0.34824931854371005
0.725, 0.3453269967675346
0.73, 0.3424325624495164
0.735, 0.33956571048101125
0.74, 0.3367261394942231
0.745, 0.33391355181382454
0.75, 0.33112765340915407
0.755, 0.32836815384699247
0.76, 0.3256347662449176
0.765, 0.3229272072252086
0.77, 0.32024519686934244
0.775, 0.3175884586730262
0.78, 0.314956719501798
0.785, 0.3123497095471735
0.79, 0.3097671622833432
0.795, 0.3072088144244168
0.8, 0.30467440588219397
0.805, 0.3021636797244744
0.81, 0.29967638213390335
0.8150000000000001, 0.2972122623673258
0.8200000000000001, 0.29477107271567626
0.8250000000000001, 0.2923525684643666
0.8300000000000001, 0.2899565078541979
0.835, 0.2875826520427604
0.84, 0.2852307650663514
0.845, 0.28290061380236914
0.85, 0.28059196793220487
0.855, 0.2783045999046201
0.86, 0.2760382848995941
0.865, 0.2737928007926624
0.87, 0.2715679281196967
0.875, 0.2693634500421755
0.88, 0.2671791523128953
0.885, 0.26501482324214426
0.89, 0.26287025366431954
0.895, 0.26074523690499124
0.9, 0.2586395687483964
0.905, 0.25655304740537577
0.91, 0.2544854734817384
0.915, 0.25243664994703463
0.92, 0.2504063821037659
0.925, 0.2483944775569968
0.93, 0.24640074618437127
0.935, 0.24442500010654863
0.9400000000000001, 0.24246705365801619
0.9450000000000001, 0.24052672335830885
0.9500000000000001, 0.23860382788361711
0.9550000000000001, 0.236698188038768
0.96, 0.2348096267295969
0.965, 0.2329379689356896
0.97, 0.2310830416834866
0.975, 0.22924467401976145
0.98, 0.22742269698545312
0.985, 0.22561694358985804
0.99, 0.22382724878516927
0.995, 0.2220534494413646
1.0, 0.22029538432143164
1.0050000000000001, 0.21855289405693798
1.01, 0.21682582112392856
1.0150000000000001, 0.21511400981915066
1.02, 0.21341730623660804
1.025, 0.21173555824443427
1.03, 0.21006861546207412
1.035, 0.2084163292377891
1.04, 0.2067785526264584
1.045, 0.20515514036768964
1.05, 0.2035459488642279
1.055, 0.20195083616066314
1.06, 0.20036966192241665
1.065, 0.1988022874150304
1.07, 0.1972485754837304
1.075, 0.19570839053327008
1.08, 0.19418159850805386
1.085, 0.19266806687252652
1.09, 0.19116766459183776
1.095, 0.1896802621127651
1.1, 0.1882057313448993
1.105, 0.18674394564209254
1.11, 0.18529477978414863
1.115, 0.1838581099587805
1.12, 0.18243381374379433
1.125, 0.18102177008953577
1.1300000000000001, 0.17962185930156124
