Radial distance r (a.u.), Calculated helium wavefunction
0.77, 0.31775648232452297
0.775, 0.31518307587293054
0.78, 0.3126331666607077
0.785, 0.3101065127380071
0.79, 0.3076028748444287
0.795, 0.3051220163811607
0.8, 0.3026637033832147
0.805, 0.3002277044917598
0.81, 0.29781379092657384
0.8150000000000001, 0.29542173645861347
0.8200000000000001, 0.2930513173827142
0.8250000000000001, 0.2907023124904388
0.8300000000000001, 0.2883745030430643
0.835, 0.2860676727447374
0.84, 0.28378160771578226
0.845, 0.28151609646618
0.85, 0.27927092986923174
0.855, 0.2770459011353909
0.86, 0.27484080578629116
0.865, 0.2726554416289604
0.87, 0.2704896087302307
0.875, 0.2683431093913476
0.88, 0.2662157481227814
0.885, 0.2641073316192424
0.89, 0.2620176687349095
0.895, 0.25994657045886316
0.9, 0.25789384989073855
0.905, 0.255859322216588
0.91, 0.25384280468496395
0.915, 0.2518441165832215
0.92, 0.24986307921403572
0.925, 0.24789951587214692
0.93, 0.24595325182132513
0.935, 0.24402411427155804
0.9400000000000001, 0.24211193235645845
0.9450000000000001, 0.24021653711089908
0.9500000000000001, 0.23833776144887447
0.9550000000000001, 0.2364754401415777
0.96, 0.23462940979571445
0.965, 0.23279950883202816
0.97, 0.23098557746405235
0.975, 0.22918745767709642
0.98, 0.227404993207436
0.985, 0.2256380295217414
0.99, 0.22388641379671456
0.995, 0.22214999489895984
1.0, 0.22042862336506266
1.0050000000000001, 0.21872215138189052
1.01, 0.21703043276711903
1.0150000000000001, 0.21535332294995557
1.02, 0.21369067895210156
1.025, 0.2120423593689131
1.03, 0.2104082243507781
1.035, 0.20878813558470338
1.04, 0.20718195627611885
1.045, 0.20558955113087857
1.05, 0.20401078633748101
1.055, 0.20244552954948128
1.06, 0.20089364986812328
1.065, 0.19935501782516066
1.07, 0.19782950536588198
1.075, 0.19631698583234322
1.08, 0.19481733394678238
1.085, 0.19333042579524318
1.09, 0.1918561388113858
1.095, 0.19039435176049635
1.1, 0.18894494472367437
1.105, 0.18750779908222387
1.11, 0.186082797502221
