Radial distance r (atomic units), Calculated helium wavefunction from basis of four gaussians with 1000 points (probability amplitude)
0.7257257257257257, 0.3504636616597712
0.7307307307307307, 0.3475355849440067
0.7357357357357357, 0.3446385308748465
0.7407407407407407, 0.34177197735604065
0.7457457457457457, 0.33893540649657244
0.7507507507507507, 0.3361283051163413
0.7557557557557557, 0.33335016522062216
0.7607607607607607, 0.33060048444379964
0.7657657657657657, 0.3278787664629129
0.7707707707707707, 0.3251845213815889
0.7757757757757757, 0.3225172660849802
0.7807807807807807, 0.319876524566355
0.7857857857857857, 0.31726182822601917
0.7907907907907907, 0.3146727161432757
0.7957957957957957, 0.3121087353221543
0.8008008008008007, 0.30956944091166066
0.8058058058058059, 0.3070543964013191
0.8108108108108109, 0.3045631737927944
0.8158158158158159, 0.3020953537483924
0.8208208208208209, 0.29965052571725365
0.8258258258258259, 0.29722828804005713
0.8308308308308309, 0.29482824803306257
