       Step     Time          Energy         fmax
GPMin:   12 17:32:56       -4.455233        0.0295
GPMin:   13 17:33:22       -4.459559        0.0471
GPMin:   14 17:33:34       -4.461952        0.0658
GPMin:   15 17:33:41       -4.497241        0.1406
GPMin:   16 17:33:47       -4.521292        0.1756
GPMin:   17 17:33:53       -4.572917        0.1981
GPMin:   18 17:33:59       -4.598789        0.2026
GPMin:   19 17:34:06       -4.730839        0.1473
GPMin:   20 17:34:13       -4.734943        0.2854
GPMin:   21 17:34:20       -4.753125        0.1457
GPMin:   22 17:34:26       -4.787006        0.1098
GPMin:   23 17:34:31       -4.794071        0.1051
GPMin:   24 17:34:36       -4.813313        0.0984
GPMin:   25 17:34:41       -4.834962        0.0866
GPMin:   26 17:34:47       -4.853982        0.0723
GPMin:   27 17:34:52       -4.866574        0.0578
GPMin:   28 17:34:57       -4.876028        0.0476
GPMin:   29 17:35:02       -4.881757        0.0299
GPMin:   30 17:35:06       -4.884461        0.0274
GPMin:   31 17:35:11       -4.887041        0.0463
GPMin:   32 17:35:15       -4.888995        0.0258
GPMin:   33 17:35:19       -4.889647        0.0156
       Step     Time          Energy         fmax
GPMin:    0 17:35:31       -2.750151        1.2823
GPMin:    1 17:35:40       -3.455707        0.4994
GPMin:    2 17:35:47       -3.686888        0.3061
GPMin:    3 17:35:55       -3.773106        0.1944
GPMin:    4 17:36:01       -3.805704        0.1677
GPMin:    5 17:36:08       -3.836774        0.1629
GPMin:    6 17:36:14       -3.858664        0.1731
GPMin:    7 17:36:23       -4.037264        0.2359
GPMin:    8 17:36:29       -4.100002        0.1909
GPMin:    9 17:36:34       -4.122481        0.1813
GPMin:   10 17:36:42       -4.185729        0.5829
GPMin:   11 17:36:49       -4.231216        0.1973
GPMin:   12 17:36:56       -4.345838        0.2006
GPMin:   13 17:37:02       -4.366087        0.2749
GPMin:   14 17:37:08       -4.414399        0.3228
GPMin:   15 17:37:14       -4.510651        0.2854
GPMin:   16 17:37:20       -4.596506        0.2074
GPMin:   17 17:37:26       -4.652400        0.1266
GPMin:   18 17:37:32       -4.682608        0.1274
GPMin:   19 17:37:37       -4.695066        0.1453
GPMin:   20 17:37:43       -4.712675        0.1270
GPMin:   21 17:37:48       -4.729196        0.0961
GPMin:   22 17:37:54       -4.745537        0.0921
GPMin:   23 17:37:59       -4.762547        0.1049
GPMin:   24 17:38:05       -4.780300        0.1002
GPMin:   25 17:38:10       -4.800034        0.0936
GPMin:   26 17:38:15       -4.819215        0.0871
GPMin:   27 17:38:21       -4.839271        0.0784
GPMin:   28 17:38:25       -4.857485        0.0655
GPMin:   29 17:38:30       -4.874219        0.0722
GPMin:   30 17:38:35       -4.888995        0.0716
GPMin:   31 17:38:40       -4.900798        0.0624
GPMin:   32 17:38:45       -4.909887        0.0620
GPMin:   33 17:38:49       -4.916734        0.0609
GPMin:   34 17:38:54       -4.923158        0.0467
GPMin:   35 17:38:59       -4.926070        0.0385
GPMin:   36 17:39:04       -4.930345        0.0397
GPMin:   37 17:39:08       -4.931303        0.0377
GPMin:   38 17:39:13       -4.932971        0.0298
GPMin:   39 17:39:17       -4.933259        0.0244
GPMin:   40 17:39:22       -4.933647        0.0120
       Step     Time          Energy         fmax
