Lattice parameter (Å) for Pt, Potential energy (eV) for Pt, Lattice parameter linspace (Å) for Pt, Fitted energy (eV) curve for Pt, Lattice parameter (Å) for min E_pot for  Pt, Minimum E_pot (eV) for Pt
, , 3.9198000000000004, -6.417088590452224, , 
, , 3.9199, -6.417157336259024, , 
, , 3.9200000000000004, -6.417225943941858, , 
, , 3.9201, -6.41729441350067, , 
, , 3.9202000000000004, -6.417362744935517, , 
, , 3.9203, -6.417430938246326, , 
, , 3.9204000000000003, -6.417498993433156, , 
, , 3.9205, -6.417566910495992, , 
, , 3.9206000000000003, -6.417634689434834, , 
, , 3.9207, -6.417702330249682, , 
, , 3.9208000000000003, -6.417769832940522, , 
, , 3.9209, -6.417837197507367, , 
, , 3.9210000000000003, -6.417904423950219, , 
, , 3.9211000000000005, -6.417971512269077, , 
, , 3.9212000000000002, -6.418038462463926, , 
, , 3.9213000000000005, -6.4181052745347955, , 
, , 3.9214, -6.418171948481657, , 
, , 3.9215000000000004, -6.41823848430451, , 
, , 3.9216, -6.418304882003383, , 
, , 3.9217000000000004, -6.4183711415782625, , 
, , 3.9218, -6.4184372630291335, , 
, , 3.9219000000000004, -6.4185032463560105, , 
, , 3.922, -6.4185690915588935, , 
, , 3.9221000000000004, -6.418634798637768, , 
, , 3.9222, -6.418700367592649, , 
, , 3.9223000000000003, -6.41876579842355, , 
, , 3.9224, -6.4188310911304285, , 
, , 3.9225000000000003, -6.418896245713327, , 
, , 3.9226, -6.418961262172232, , 
, , 3.9227000000000003, -6.419026140507128, , 
, , 3.9228, -6.419090880718031, , 
, , 3.9229000000000003, -6.419155482804939, , 
, , 3.923, -6.419219946767839, , 
, , 3.9231000000000003, -6.41928427260676, , 
, , 3.9232, -6.419348460321672, , 
, , 3.9233000000000002, -6.41941250991259, , 
, , 3.9234, -6.419476421379514, , 
, , 3.9235, -6.41954019472243, , 
, , 3.9236000000000004, -6.419603829941352, , 
, , 3.9237, -6.419667327036294, , 
, , 3.9238000000000004, -6.419730686007213, , 
, , 3.9239, -6.419793906854153, , 
, , 3.9240000000000004, -6.419856989577099, , 
, , 3.9241, -6.419919934176036, , 
, , 3.9242000000000004, -6.41998274065098, , 
, , 3.9243, -6.420045409001929, , 
, , 3.9244000000000003, -6.4201079392288705, , 
, , 3.9245, -6.420170331331832, , 
, , 3.9246000000000003, -6.420232585310785, , 
, , 3.9247, -6.420294701165744, , 
, , 3.9248000000000003, -6.4203566788967095, , 
, , 3.9249, -6.420418518503666, , 
, , 3.9250000000000003, -6.420480219986629, , 
, , 3.9251, -6.420541783345612, , 
, , 3.9252000000000002, -6.420603208580573, , 
, , 3.9253, -6.420664495691554, , 
, , 3.9254000000000002, -6.420725644678541, , 
, , 3.9255, -6.420786655541519, , 
, , 3.9256, -6.420847528280504, , 
, , 3.9257, -6.4209082628954945, , 
, , 3.9258, -6.420968859386477, , 
, , 3.9259, -6.421029317753479, , 
, , 3.926, -6.421089637996474, , 
, , 3.9261000000000004, -6.421149820115474, , 
, , 3.9262, -6.421209864110466, , 
, , 3.9263000000000003, -6.421269769981478, , 
, , 3.9264, -6.421329537728482, , 
, , 3.9265000000000003, -6.421389167351492, , 
, , 3.9266, -6.421448658850508, , 
, , 3.9267000000000003, -6.42150801222553, , 
, , 3.9268, -6.421567227476544, , 
, , 3.9269000000000003, -6.4216263046035635, , 
, , 3.927, -6.421685243606589, , 
, , 3.9271000000000003, -6.421744044485621, , 
, , 3.9272, -6.4218027072406585, , 
, , 3.9273000000000002, -6.421861231871688, , 
, , 3.9274, -6.421919618378723, , 
, , 3.9275, -6.421977866761765, , 
, , 3.9276, -6.422035977020812, , 
, , 3.9277, -6.422093949155851, , 
, , 3.9278, -6.42215178316691, , 
, , 3.9279, -6.4222094790539614, , 
, , 3.928, -6.4222670368170185, , 
, , 3.9281, -6.422324456456067, , 
, , 3.9282, -6.422381737971136, , 
, , 3.9283, -6.422438881362197, , 
, , 3.9284, -6.422495886629264, , 
, , 3.9285, -6.422552753772337, , 
, , 3.9286000000000003, -6.422609482791401, , 
, , 3.9287, -6.422666073686472, , 
, , 3.9288000000000003, -6.422722526457562, , 
, , 3.9289, -6.422778841104645, , 
, , 3.9290000000000003, -6.422835017627719, , 
