Lattice parameter for Au, Potential energy (eV) for Au, Lattice parameter linspace for Au, Fitted energy curve for Au
, , 3.5675, 21.299538863203423
, , 3.5684, 21.2868461124026
, , 3.5693, 21.27417672561191
, , 3.5702, 21.26153070283138
, , 3.5711, 21.24890804406101
, , 3.572, 21.23630874930086
, , 3.5729, 21.223732818550815
, , 3.5738, 21.2111802518109
, , 3.5747, 21.198651049081178
, , 3.5756, 21.186145210361616
, , 3.5765000000000002, 21.17366273565227
, , 3.5774, 21.161203624952975
, , 3.5783, 21.148767878263897
, , 3.5792, 21.13635549558495
, , 3.5801, 21.123966476916223
, , 3.581, 21.1116008222576
, , 3.5819, 21.099258531609138
, , 3.5828, 21.086939604970837
, , 3.5837, 21.074644042342698
, , 3.5846, 21.062371843724748
, , 3.5855, 21.05012300911693
, , 3.5864000000000003, 21.037897538519275
, , 3.5873, 21.02569543193175
, , 3.5882, 21.013516689354418
, , 3.5891, 21.001361310787274
, , 3.59, 20.989229296230207
, , 3.5909, 20.977120645683357
, , 3.5918, 20.96503535914664
, , 3.5927000000000002, 20.952973436620084
, , 3.5936, 20.940934878103718
, , 3.5945, 20.928919683597485
, , 3.5954, 20.916927853101413
, , 3.5963, 20.90495938661553
, , 3.5972, 20.89301428413978
, , 3.5981, 20.881092545674164
, , 3.599, 20.869194171218737
, , 3.5999, 20.85731916077347
, , 3.6008, 20.84546751433834
, , 3.6017, 20.833639231913395
, , 3.6026000000000002, 20.821834313498584
, , 3.6035, 20.810052759093963
, , 3.6044, 20.798294568699475
, , 3.6053, 20.78655974231515
, , 3.6062, 20.77484827994101
, , 3.6071, 20.76316018157698
, , 3.608, 20.751495447223135
, , 3.6089, 20.739854076879453
, , 3.6098, 20.728236070545933
, , 3.6107, 20.716641428222545
, , 3.6116, 20.705070149909346
, , 3.6125, 20.69352223560631
, , 3.6134, 20.681997685313405
, , 3.6143, 20.670496499030662
, , 3.6152, 20.65901867675808
, , 3.6161, 20.64756421849569
, , 3.617, 20.6361331242434
, , 3.6179, 20.624725394001302
, , 3.6188000000000002, 20.613341027769366
, , 3.6197, 20.60198002554759
, , 3.6206, 20.590642387335976
, , 3.6215, 20.579328113134494
, , 3.6224, 20.568037202943145
, , 3.6233, 20.556769656761986
, , 3.6242, 20.545525474591045
, , 3.6251, 20.53430465643021
, , 3.626, 20.523107202279505
, , 3.6269, 20.51193311213899
, , 3.6278, 20.500782386008638
, , 3.6287000000000003, 20.489655023888474
, , 3.6296, 20.478551025778415
, , 3.6305, 20.467470391678518
, , 3.6314, 20.45641312158878
, , 3.6323, 20.445379215509263
, , 3.6332, 20.43436867343985
, , 3.6341, 20.423381495380596
, , 3.6350000000000002, 20.412417681331505
, , 3.6359, 20.401477231292546
, , 3.6368, 20.390560145263834
, , 3.6377, 20.379666423245197
, , 3.6386000000000003, 20.36879606523675
, , 3.6395, 20.357949071238437
, , 3.6404, 20.347125441250284
, , 3.6413, 20.33632517527235
, , 3.6422, 20.32554827330452
, , 3.6431, 20.31479473534685
, , 3.644, 20.304064561399343
, , 3.6449000000000003, 20.293357751461997
, , 3.6458, 20.28267430553484
, , 3.6467, 20.272014223617816
, , 3.6476, 20.261377505710925
, , 3.6485000000000003, 20.250764151814224
, , 3.6494, 20.240174161927683
, , 3.6503, 20.229607536051304
, , 3.6512000000000002, 20.219064274185058
, , 3.6521, 20.20854437632903
, , 3.653, 20.198047842483106
, , 3.6539, 20.187574672647344
, , 3.6548000000000003, 20.177124866821742
, , 3.6557, 20.16669842500633
, , 3.6566, 20.156295347201052
, , 3.6575, 20.145915633405906
, , 3.6584, 20.135559283620978
, , 3.6593, 20.125226297846183
, , 3.6602, 20.11491667608152
