      Step     Time          Energy         fmax
BFGS:   61 15:46:41       -7.096740        0.3071
BFGS:   62 15:46:41       -7.105057        0.2921
BFGS:   63 15:46:41       -7.109613        0.2558
BFGS:   64 15:46:41       -7.113209        0.2219
BFGS:   65 15:46:41       -7.118552        0.1868
BFGS:   66 15:46:41       -7.124506        0.1588
BFGS:   67 15:46:41       -7.128330        0.1208
BFGS:   68 15:46:41       -7.129493        0.0976
BFGS:   69 15:46:41       -7.129855        0.0765
BFGS:   70 15:46:41       -7.130244        0.0544
BFGS:   71 15:46:41       -7.130722        0.0482
      Step     Time          Energy         fmax
BFGS:    0 15:46:41       15.028892       38.9782
BFGS:    1 15:46:41        0.535479       14.5634
BFGS:    2 15:46:41       -2.476472       11.1647
BFGS:    3 15:46:41       -4.014779        4.5057
BFGS:    4 15:46:41       -4.605470        2.1547
BFGS:    5 15:46:41       -4.838526        0.9104
BFGS:    6 15:46:41       -4.917403        0.7061
BFGS:    7 15:46:41       -4.965992        0.7585
BFGS:    8 15:46:41       -5.027199        0.7357
BFGS:    9 15:46:41       -5.099063        0.6761
BFGS:   10 15:46:41       -5.150378        0.6957
BFGS:   11 15:46:41       -5.248424        0.8438
BFGS:   12 15:46:41       -5.293690        0.7777
BFGS:   13 15:46:41       -5.337373        0.6489
BFGS:   14 15:46:41       -5.480281        1.8396
BFGS:   15 15:46:41       -5.541822        0.6338
BFGS:   16 15:46:41       -5.587064        0.7140
BFGS:   17 15:46:41       -5.776327        0.9582
BFGS:   18 15:46:41       -5.897259        1.8546
BFGS:   19 15:46:41       -6.018994        1.6186
BFGS:   20 15:46:41       -6.447636        1.6855
BFGS:   21 15:46:41       -6.574139        2.0438
BFGS:   22 15:46:41       -6.547987        1.1167
BFGS:   23 15:46:41       -6.691420        0.6778
BFGS:   24 15:46:41       -6.730688        0.6269
BFGS:   25 15:46:41       -6.762347        0.5882
BFGS:   26 15:46:41       -6.818449        0.5478
BFGS:   27 15:46:41       -6.855842        0.5839
BFGS:   28 15:46:41       -6.898895        0.5742
BFGS:   29 15:46:41       -6.924521        0.5979
BFGS:   30 15:46:41       -6.950854        0.5123
BFGS:   31 15:46:41       -6.975060        0.5099
BFGS:   32 15:46:41       -6.991500        0.4686
BFGS:   33 15:46:41       -7.011931        0.4011
BFGS:   34 15:46:41       -7.032642        0.3908
BFGS:   35 15:46:41       -7.047361        0.3779
BFGS:   36 15:46:41       -7.058409        0.4639
BFGS:   37 15:46:41       -7.072492        0.4998
BFGS:   38 15:46:41       -7.084369        0.3228
BFGS:   39 15:46:41       -7.092791        0.2760
BFGS:   40 15:46:41       -7.098503        0.2167
BFGS:   41 15:46:41       -7.102875        0.1972
BFGS:   42 15:46:41       -7.108671        0.2207
BFGS:   43 15:46:41       -7.115341        0.1617
BFGS:   44 15:46:41       -7.119593        0.1282
BFGS:   45 15:46:41       -7.121147        0.1472
BFGS:   46 15:46:41       -7.122427        0.1524
BFGS:   47 15:46:41       -7.124759        0.1348
BFGS:   48 15:46:41       -7.127125        0.1109
BFGS:   49 15:46:41       -7.128701        0.0895
BFGS:   50 15:46:41       -7.129367        0.0806
BFGS:   51 15:46:41       -7.129893        0.0659
BFGS:   52 15:46:41       -7.130456        0.0610
BFGS:   53 15:46:41       -7.130865        0.0433
      Step     Time          Energy         fmax
BFGS:    0 15:46:41       16.040605       30.0367
BFGS:    1 15:46:41        2.195569       16.8161
BFGS:    2 15:46:41       -1.158288        7.7907
BFGS:    3 15:46:41       -2.900839        2.9881
BFGS:    4 15:46:41       -3.675132        1.5107
BFGS:    5 15:46:41       -3.945403        0.7931
BFGS:    6 15:46:41       -4.015673        0.5180
BFGS:    7 15:46:41       -4.036265        0.4344
