       Step     Time          Energy         fmax
GPMin:    0 17:56:33       -5.920409        0.2974
GPMin:    1 17:56:40       -6.195694        0.2835
GPMin:    2 17:56:48       -6.375955        0.2668
GPMin:    3 17:56:55       -6.514279        0.2418
GPMin:    4 17:57:02       -6.613419        0.1952
GPMin:    5 17:57:09       -6.678816        0.1773
GPMin:    6 17:57:15       -6.736692        0.1658
GPMin:    7 17:57:21       -6.759468        0.1574
GPMin:    8 17:57:27       -6.803517        0.1273
GPMin:    9 17:57:32       -6.836690        0.0631
GPMin:   10 17:57:38       -6.843245        0.0243
GPMin:   11 17:57:42       -6.843859        0.0210
GPMin:   12 17:57:48       -6.845646        0.0223
GPMin:   13 17:57:54       -6.846804        0.0275
GPMin:   14 17:58:00       -6.849789        0.0220
GPMin:   15 17:58:05       -6.851459        0.0218
GPMin:   16 17:58:11       -6.857964        0.0368
GPMin:   17 17:58:16       -6.871574        0.0588
GPMin:   18 17:58:22       -6.901937        0.0841
GPMin:   19 17:58:28       -6.957620        0.1100
GPMin:   20 17:58:35       -7.022954        0.1291
GPMin:   21 17:58:41       -7.085839        0.1198
GPMin:   22 17:58:48       -7.131256        0.0732
GPMin:   23 17:58:54       -7.147247        0.0432
GPMin:   24 17:59:00       -7.148925        0.0309
GPMin:   25 17:59:05       -7.149971        0.0144
       Step     Time          Energy         fmax
GPMin:    0 17:59:18       -6.368189        0.3549
GPMin:    1 17:59:26       -6.587879        0.2825
GPMin:    2 17:59:33       -6.751498        0.2381
GPMin:    3 17:59:40       -6.890867        0.2254
GPMin:    4 17:59:47       -7.005668        0.1831
GPMin:    5 17:59:54       -7.085226        0.1180
GPMin:    6 18:00:01       -7.124141        0.0796
GPMin:    7 18:00:07       -7.138901        0.0608
GPMin:    8 18:00:13       -7.144558        0.0371
GPMin:    9 18:00:19       -7.146448        0.0220
GPMin:   10 18:00:24       -7.147614        0.0160
       Step     Time          Energy         fmax
GPMin:    0 18:00:36       -6.427325        0.5002
GPMin:    1 18:00:43       -6.632821        0.1735
GPMin:    2 18:00:51       -6.697326        0.1343
GPMin:    3 18:00:58       -6.744987        0.1082
GPMin:    4 18:01:04       -6.773111        0.1231
GPMin:    5 18:01:10       -6.814093        0.1438
GPMin:    6 18:01:17       -6.864168        0.1675
GPMin:    7 18:01:23       -6.923015        0.1812
GPMin:    8 18:01:29       -6.982862        0.1672
GPMin:    9 18:01:36       -7.025094        0.1270
