Radial distance r (atomic units), theoretical Hartree potential (atomic units), calculated Hartree potential (atomic units)
0.960960960960961, 0.7420295967808949, 0.750601645679342
0.970970970970971, 0.7387586269621846, 0.7472340189192394
0.980980980980981, 0.7354975132929888, 0.7438782208424489
0.990990990990991, 0.7322465043233313, 0.7405344402453673
1.001001001001001, 0.7290058390918539, 0.7372028588023878
1.011011011011011, 0.725775747369047, 0.7338836511908653
1.021021021021021, 0.7225564498949404, 0.730576985217499
1.031031031031031, 0.7193481586113751, 0.7272830219457828
1.0410410410410411, 0.7161510768889756, 0.7240019158241983
1.0510510510510511, 0.7129653997489354, 0.7207338148148669
1.0610610610610611, 0.7097913140797275, 0.7174788605223998
1.0710710710710711, 0.706628998848853, 0.7142371883227094
1.0810810810810811, 0.7034786253097316, 0.7110089274915723
1.0910910910910911, 0.7003403572038432, 0.7077942013327524
